age,marital,balance,loan,contact,deposit
43,divorced,1040,no,unknown,yes
37,divorced,122,no,unknown,yes
30,single,880,yes,unknown,yes
41,married,501,no,unknown,yes
36,married,4438,no,unknown,yes
35,divorced,0,no,unknown,yes
29,single,271,no,unknown,yes
35,married,102,no,unknown,yes
31,married,2,no,unknown,yes
35,married,4170,no,unknown,yes
34,single,85,no,unknown,yes
31,single,431,yes,unknown,yes
44,divorced,982,no,unknown,yes
36,married,408,yes,unknown,yes
35,married,4822,no,unknown,yes
41,married,1250,no,unknown,yes
31,single,216,no,unknown,yes
34,married,1207,no,unknown,yes
32,married,791,no,unknown,yes
36,married,849,yes,unknown,yes
30,single,239,no,unknown,yes
37,single,1211,no,unknown,yes
36,married,599,no,unknown,yes
31,single,825,no,unknown,yes
27,married,2183,yes,unknown,yes
34,married,4499,no,unknown,yes
30,single,1289,no,unknown,yes
32,single,4665,no,unknown,yes
37,single,3326,no,unknown,yes
32,married,783,no,unknown,yes
33,married,0,no,unknown,yes
35,married,994,no,unknown,yes
35,divorced,1354,no,unknown,yes
30,single,239,no,unknown,yes
45,divorced,-311,no,unknown,yes
45,married,149,no,unknown,yes
33,married,1464,no,unknown,yes
44,divorced,5773,no,unknown,yes
40,married,278,no,unknown,yes
31,married,2910,no,unknown,yes
30,married,541,no,unknown,yes
44,divorced,1262,no,unknown,yes
34,married,-538,no,unknown,yes
37,married,125,no,unknown,yes
28,single,0,no,unknown,yes
32,single,620,no,unknown,yes
37,divorced,316,no,unknown,yes
34,married,2287,no,unknown,yes
38,divorced,198,no,unknown,yes
28,single,460,no,unknown,yes
31,divorced,1145,no,unknown,yes
59,married,-22,no,unknown,yes
24,married,685,no,unknown,yes
26,single,901,no,unknown,yes
59,single,351,no,unknown,yes
30,single,0,yes,unknown,yes
37,married,274,no,unknown,yes
30,single,-213,yes,unknown,yes
25,married,97,no,unknown,yes
44,divorced,51,yes,unknown,yes
29,married,314,no,unknown,yes
26,single,6840,no,unknown,yes
26,single,668,no,unknown,yes
27,single,54,no,unknown,yes
25,single,1242,no,unknown,yes
28,married,292,no,unknown,yes
23,single,665,no,unknown,yes
34,single,1058,no,unknown,yes
28,single,949,no,unknown,yes
51,married,606,no,unknown,yes
35,married,0,yes,unknown,yes
35,married,404,no,unknown,yes
56,married,249,no,unknown,yes
45,divorced,3354,no,unknown,yes
60,divorced,0,no,unknown,yes
56,married,589,no,unknown,yes
27,single,12956,no,unknown,yes
30,married,873,no,unknown,yes
45,divorced,594,no,unknown,yes
29,single,-20,no,unknown,yes
38,divorced,4692,no,unknown,yes
30,married,486,no,unknown,yes
44,single,1593,no,unknown,yes
36,single,7606,no,unknown,yes
38,married,226,no,unknown,yes
36,single,366,yes,unknown,yes
37,divorced,16,no,unknown,yes
35,single,565,no,unknown,yes
38,divorced,19,no,unknown,yes
40,married,1082,no,unknown,yes
42,divorced,1713,no,unknown,yes
46,divorced,14481,no,unknown,yes
35,divorced,5724,no,unknown,yes
34,divorced,1451,no,unknown,yes
32,married,-34,no,unknown,yes
50,married,3674,no,unknown,yes
35,married,698,yes,unknown,yes
36,single,4136,no,unknown,yes
53,divorced,2656,no,unknown,yes
46,single,2904,no,unknown,yes
26,single,1004,no,unknown,yes
45,single,410,no,unknown,yes
31,divorced,0,no,unknown,yes
29,single,0,no,unknown,yes
53,single,62,no,unknown,yes
27,married,416,no,unknown,yes
39,married,2763,no,unknown,yes
36,married,2984,no,unknown,yes
41,married,143,yes,unknown,yes
36,married,0,no,unknown,yes
32,married,696,no,unknown,yes
35,married,152,no,unknown,yes
36,single,-78,no,unknown,yes
35,married,867,no,unknown,yes
30,single,953,no,unknown,yes
42,married,443,no,unknown,yes
42,single,-1129,no,unknown,yes
32,married,415,no,unknown,yes
29,single,260,no,unknown,yes
44,divorced,-411,no,unknown,yes
32,single,1279,no,unknown,yes
31,married,86,yes,unknown,yes
40,married,-754,yes,unknown,yes
43,married,0,no,unknown,yes
27,single,178,no,unknown,yes
37,single,278,no,unknown,yes
23,single,425,no,unknown,yes
25,married,168,no,unknown,yes
26,single,-36,no,unknown,yes
47,divorced,126,no,unknown,yes
35,married,-87,no,unknown,yes
32,single,6281,no,unknown,yes
45,divorced,644,no,unknown,yes
30,divorced,377,no,unknown,yes
29,single,-271,no,unknown,yes
38,married,5839,no,unknown,yes
23,single,492,no,unknown,yes
27,single,99,no,unknown,yes
27,single,-713,no,unknown,yes
29,single,32,no,unknown,yes
30,married,543,yes,unknown,yes
36,married,403,no,unknown,yes
35,divorced,437,no,unknown,yes
36,married,1772,no,unknown,yes
59,divorced,-88,no,unknown,yes
47,married,0,no,unknown,yes
58,married,853,no,unknown,yes
37,single,240,no,unknown,yes
46,single,849,no,unknown,yes
43,single,318,no,unknown,yes
27,single,703,no,unknown,yes
38,divorced,61,no,unknown,yes
53,married,104,yes,unknown,yes
47,married,1996,no,unknown,yes
56,divorced,1238,no,unknown,yes
41,married,879,no,unknown,yes
29,married,425,no,unknown,yes
50,married,416,no,unknown,yes
45,divorced,844,no,unknown,yes
35,married,860,no,unknown,yes
26,single,639,no,unknown,yes
26,married,710,yes,unknown,yes
37,married,1508,yes,unknown,yes
30,single,223,no,unknown,yes
38,single,619,no,unknown,yes
37,divorced,319,no,unknown,yes
53,married,480,no,unknown,yes
29,single,213,no,unknown,yes
35,single,68,no,unknown,yes
28,married,2788,no,unknown,yes
55,married,7561,no,unknown,yes
49,divorced,-46,no,unknown,yes
50,married,1595,no,unknown,yes
43,single,1046,no,unknown,yes
58,divorced,1382,no,unknown,yes
38,married,217,no,unknown,yes
48,divorced,183,no,unknown,yes
59,married,1321,no,unknown,yes
58,married,25,no,unknown,yes
36,single,4844,no,unknown,yes
42,married,5345,no,unknown,yes
41,single,812,yes,unknown,yes
42,married,105,no,unknown,yes
39,married,-190,yes,unknown,yes
57,married,625,yes,unknown,yes
52,married,293,no,unknown,yes
59,married,1033,no,unknown,yes
56,married,1210,no,unknown,yes
49,married,64,no,unknown,yes
35,divorced,164,no,unknown,yes
36,married,1766,no,unknown,yes
40,single,1248,no,unknown,yes
55,married,0,no,unknown,yes
58,married,826,no,unknown,yes
39,married,2630,no,unknown,yes
47,single,3727,no,unknown,yes
40,married,406,no,unknown,yes
35,married,2999,no,unknown,yes
48,married,1000,no,unknown,yes
48,divorced,503,yes,unknown,yes
24,single,-203,no,unknown,yes
49,married,361,no,unknown,yes
36,married,274,no,unknown,yes
52,divorced,3687,yes,unknown,yes
42,single,323,no,unknown,yes
36,married,981,no,unknown,yes
36,divorced,638,no,unknown,yes
48,single,3229,no,unknown,yes
51,single,1610,no,unknown,yes
51,married,33,yes,unknown,yes
46,married,536,no,unknown,yes
37,married,0,no,unknown,yes
36,married,3057,no,unknown,yes
47,married,2892,no,unknown,yes
40,divorced,0,no,unknown,yes
38,single,3316,no,unknown,yes
40,married,106,no,unknown,yes
39,married,2303,no,unknown,yes
60,married,3301,no,unknown,yes
39,single,426,no,unknown,yes
51,divorced,9,no,unknown,yes
27,married,-97,no,unknown,yes
41,single,11008,no,unknown,yes
42,single,4930,no,unknown,yes
41,married,707,no,unknown,yes
33,married,4,yes,unknown,yes
46,married,126,no,unknown,yes
31,married,671,no,unknown,yes
41,married,219,yes,unknown,yes
41,divorced,3622,no,unknown,yes
55,divorced,1580,yes,unknown,yes
53,married,1319,no,unknown,yes
55,married,2152,no,unknown,yes
39,married,2843,no,unknown,yes
40,married,0,no,unknown,yes
59,married,1115,no,unknown,yes
42,single,625,no,unknown,yes
41,married,246,no,unknown,yes
27,married,61,no,unknown,yes
25,single,-191,no,unknown,yes
43,married,519,no,unknown,yes
44,married,522,yes,unknown,yes
26,single,-46,no,unknown,yes
52,married,2269,no,unknown,yes
54,married,386,yes,unknown,yes
56,married,0,yes,unknown,yes
57,married,9103,yes,unknown,yes
29,single,908,no,unknown,yes
47,married,1694,yes,unknown,yes
57,married,-92,yes,unknown,yes
40,married,188,yes,unknown,yes
46,divorced,0,no,unknown,yes
43,single,740,no,unknown,yes
45,married,655,no,unknown,yes
24,married,867,no,unknown,yes
40,married,1009,yes,unknown,yes
38,divorced,6360,no,unknown,yes
36,married,4145,no,unknown,yes
27,single,-27,no,unknown,yes
26,single,-122,no,unknown,yes
43,married,149,no,unknown,yes
25,single,52,no,unknown,yes
27,married,335,no,unknown,yes
30,married,526,yes,unknown,yes
28,single,-7,yes,unknown,yes
27,married,-413,yes,unknown,yes
32,divorced,-241,yes,unknown,yes
41,single,75,no,unknown,yes
37,single,0,no,unknown,yes
27,single,158,no,unknown,yes
29,single,84,yes,unknown,yes
33,married,114,yes,unknown,yes
36,married,0,no,unknown,yes
28,single,-127,no,cellular,yes
55,married,49,no,cellular,yes
51,married,216,no,cellular,yes
39,single,506,no,cellular,yes
42,divorced,213,no,cellular,yes
33,single,170,no,cellular,yes
36,divorced,776,yes,cellular,yes
45,married,879,no,cellular,yes
37,married,1633,no,cellular,yes
46,married,926,no,cellular,yes
32,single,2559,no,cellular,yes
28,single,909,yes,cellular,yes
45,divorced,-176,yes,cellular,yes
41,single,1085,yes,cellular,yes
59,divorced,1265,yes,cellular,yes
47,single,-239,yes,cellular,yes
31,single,726,no,cellular,yes
31,single,296,yes,cellular,yes
33,married,-627,yes,cellular,yes
52,married,-468,no,cellular,yes
26,single,551,no,cellular,yes
25,single,0,yes,cellular,yes
25,married,101,yes,cellular,yes
28,single,517,yes,cellular,yes
33,divorced,37,yes,cellular,yes
45,divorced,854,yes,cellular,yes
36,married,30,yes,cellular,yes
26,single,81,yes,cellular,yes
38,married,0,no,cellular,yes
56,single,663,yes,cellular,yes
26,single,102,yes,cellular,yes
26,married,370,yes,cellular,yes
25,single,189,yes,cellular,yes
26,single,111,no,cellular,yes
40,married,665,no,cellular,yes
37,married,214,no,cellular,yes
43,single,0,no,cellular,yes
41,divorced,1583,no,cellular,yes
49,married,0,yes,cellular,yes
29,divorced,0,yes,cellular,yes
39,divorced,687,no,cellular,yes
38,married,327,yes,cellular,yes
26,married,-119,yes,cellular,yes
32,married,794,yes,cellular,yes
33,married,-191,yes,cellular,yes
31,single,409,yes,cellular,yes
49,married,3,yes,cellular,yes
27,single,9,yes,cellular,yes
30,single,155,yes,cellular,yes
35,married,1330,no,cellular,yes
26,single,-29,no,cellular,yes
45,married,3133,yes,cellular,yes
34,married,-33,yes,cellular,yes
28,single,-170,yes,cellular,yes
25,single,1243,yes,cellular,yes
30,single,1598,no,cellular,yes
30,married,5,yes,cellular,yes
47,married,367,no,cellular,yes
57,divorced,658,no,cellular,yes
38,married,1722,no,cellular,yes
54,married,-315,yes,cellular,yes
25,single,2483,no,cellular,yes
30,married,0,yes,cellular,yes
26,single,45,no,cellular,yes
31,married,46,no,cellular,yes
29,single,482,yes,cellular,yes
49,married,3728,no,cellular,yes
60,divorced,1099,no,cellular,yes
60,married,2222,no,cellular,yes
29,single,983,no,cellular,yes
55,divorced,204,no,cellular,yes
44,married,1074,no,cellular,yes
47,married,3466,no,cellular,yes
35,married,-203,no,cellular,yes
35,married,2436,yes,cellular,yes
38,married,976,no,cellular,yes
34,married,146,no,cellular,yes
50,married,156,yes,cellular,yes
43,married,189,no,cellular,yes
44,divorced,163,no,cellular,yes
51,divorced,242,yes,cellular,yes
31,married,1173,no,cellular,yes
39,married,0,no,cellular,yes
59,married,296,yes,cellular,yes
25,single,333,yes,cellular,yes
58,married,3864,no,cellular,yes
30,married,2686,no,cellular,yes
34,single,-109,no,cellular,yes
51,divorced,65,yes,cellular,yes
60,married,597,no,cellular,yes
51,married,-799,yes,cellular,yes
37,divorced,1775,no,cellular,yes
30,single,0,no,cellular,yes
46,divorced,-563,yes,cellular,yes
29,single,5,no,cellular,yes
27,married,139,no,cellular,yes
28,single,0,no,cellular,yes
34,single,855,no,cellular,yes
29,single,694,yes,cellular,yes
27,single,151,no,cellular,yes
26,single,354,no,cellular,yes
36,married,673,no,cellular,yes
44,married,1265,no,cellular,yes
39,married,597,no,cellular,yes
30,married,-393,yes,cellular,yes
31,divorced,256,no,cellular,yes
56,married,0,no,cellular,yes
29,married,2870,no,cellular,yes
43,married,184,yes,cellular,yes
32,married,1905,no,cellular,yes
30,single,-36,no,cellular,yes
40,married,-839,yes,cellular,yes
42,married,3465,yes,cellular,yes
27,married,119,no,cellular,yes
35,married,36,yes,cellular,yes
35,married,113,no,cellular,yes
32,single,118,no,cellular,yes
39,married,251,no,cellular,yes
31,divorced,-277,no,telephone,yes
26,single,-189,yes,cellular,yes
42,married,4,no,cellular,yes
27,single,1820,no,cellular,yes
33,divorced,1904,no,cellular,yes
51,married,201,no,cellular,yes
33,married,0,no,telephone,yes
30,single,178,no,cellular,yes
52,married,3798,no,cellular,yes
42,divorced,301,no,cellular,yes
31,divorced,294,no,cellular,yes
27,married,0,no,cellular,yes
44,single,292,yes,cellular,yes
40,divorced,2998,no,cellular,yes
46,divorced,2084,no,cellular,yes
32,divorced,454,no,cellular,yes
56,divorced,179,no,cellular,yes
33,married,661,no,cellular,yes
33,married,89,no,cellular,yes
32,married,102,no,cellular,yes
41,divorced,138,no,cellular,yes
31,single,622,no,cellular,yes
30,divorced,10,no,cellular,yes
34,divorced,-251,no,cellular,yes
43,married,104,no,cellular,yes
28,married,173,no,cellular,yes
32,divorced,-46,yes,cellular,yes
31,divorced,0,yes,cellular,yes
35,single,145,no,cellular,yes
31,married,325,no,cellular,yes
25,single,2311,yes,cellular,yes
56,divorced,158,yes,cellular,yes
47,married,1981,no,cellular,yes
39,married,1423,no,telephone,yes
51,married,2455,no,cellular,yes
54,divorced,859,yes,cellular,yes
58,married,9004,no,cellular,yes
42,married,970,no,telephone,yes
56,married,486,yes,telephone,yes
55,married,127,no,telephone,yes
26,single,409,no,cellular,yes
40,single,664,no,cellular,yes
26,single,223,yes,cellular,yes
35,single,-324,yes,cellular,yes
34,single,-30,no,cellular,yes
41,single,1253,no,cellular,yes
44,married,4758,no,cellular,yes
33,single,30,no,cellular,yes
36,divorced,81,yes,cellular,yes
38,married,0,no,cellular,yes
35,married,328,no,cellular,yes
41,single,145,no,cellular,yes
41,divorced,465,no,cellular,yes
28,married,751,no,cellular,yes
26,married,-379,yes,cellular,yes
39,single,0,no,cellular,yes
25,married,349,no,cellular,yes
37,married,1110,no,telephone,yes
25,married,2228,no,cellular,yes
46,divorced,2166,no,cellular,yes
25,single,-247,no,cellular,yes
28,single,-123,yes,cellular,yes
33,divorced,44,yes,cellular,yes
32,single,131,yes,cellular,yes
32,married,476,no,cellular,yes
47,single,1101,no,cellular,yes
50,married,-168,no,cellular,yes
27,married,-392,no,cellular,yes
45,married,524,no,cellular,yes
51,single,895,no,cellular,yes
36,married,212,yes,cellular,yes
51,married,95,no,cellular,yes
33,single,395,no,cellular,yes
59,married,135,yes,cellular,yes
38,married,0,no,cellular,yes
40,married,471,no,cellular,yes
51,married,603,no,cellular,yes
41,single,663,no,cellular,yes
38,married,593,yes,cellular,yes
31,married,1224,yes,cellular,yes
28,single,2,no,cellular,yes
41,married,720,yes,cellular,yes
33,divorced,990,no,cellular,yes
25,single,1747,no,cellular,yes
45,divorced,59,no,cellular,yes
31,married,33,no,cellular,yes
28,single,340,no,cellular,yes
49,divorced,305,no,cellular,yes
25,married,0,no,cellular,yes
28,single,497,no,cellular,yes
54,married,1371,no,telephone,yes
28,single,1628,no,cellular,yes
27,single,372,yes,cellular,yes
49,single,566,no,cellular,yes
53,married,343,no,cellular,yes
26,single,941,yes,cellular,yes
37,married,775,yes,cellular,yes
34,single,1759,yes,cellular,yes
51,married,1495,no,telephone,yes
39,married,1444,no,telephone,yes
35,single,470,no,cellular,yes
51,married,1162,no,cellular,yes
30,single,2,yes,cellular,yes
42,single,1628,no,cellular,yes
54,married,1134,no,cellular,yes
51,married,0,yes,cellular,yes
57,divorced,63,yes,cellular,yes
30,married,1221,no,telephone,yes
37,single,5024,yes,cellular,yes
39,married,10685,no,cellular,yes
35,married,1629,no,cellular,yes
48,married,268,no,cellular,yes
31,married,0,yes,cellular,yes
35,married,5613,no,cellular,yes
48,married,513,yes,cellular,yes
53,married,362,no,cellular,yes
27,single,3933,no,cellular,yes
55,married,3899,no,telephone,yes
40,married,473,no,cellular,yes
40,single,1616,no,telephone,yes
38,divorced,1817,no,cellular,yes
54,single,129,yes,cellular,yes
54,married,1938,yes,cellular,yes
50,single,133,no,cellular,yes
48,divorced,2263,no,cellular,yes
41,married,1538,no,cellular,yes
51,divorced,5,no,cellular,yes
42,single,2625,no,cellular,yes
58,divorced,1080,no,cellular,yes
47,married,312,no,cellular,yes
58,married,145,no,telephone,yes
41,married,-190,yes,cellular,yes
50,married,2678,no,telephone,yes
46,married,271,no,cellular,yes
44,married,0,no,cellular,yes
36,married,0,no,cellular,yes
58,divorced,3161,no,telephone,yes
44,single,-4,yes,cellular,yes
49,divorced,-701,no,cellular,yes
55,married,-375,no,cellular,yes
52,married,959,no,telephone,yes
60,divorced,1091,no,cellular,yes
41,married,-1,yes,cellular,yes
36,married,96,no,cellular,yes
41,divorced,0,no,cellular,yes
50,married,230,no,telephone,yes
44,married,-156,yes,cellular,yes
54,married,114,no,cellular,yes
35,married,-468,no,cellular,yes
59,divorced,679,no,cellular,yes
42,married,206,no,cellular,yes
27,single,1,no,cellular,yes
59,divorced,2518,no,cellular,yes
43,married,378,no,cellular,yes
39,single,391,yes,cellular,yes
33,married,-144,no,cellular,yes
36,single,1240,no,cellular,yes
35,divorced,1792,no,cellular,yes
50,married,2284,no,telephone,yes
55,married,264,yes,cellular,yes
51,divorced,0,no,cellular,yes
48,married,-392,no,cellular,yes
55,divorced,77,no,cellular,yes
30,married,48,no,cellular,yes
53,married,252,no,cellular,yes
40,married,1954,no,cellular,yes
44,married,755,yes,cellular,yes
49,divorced,755,no,cellular,yes
40,married,341,no,cellular,yes
58,married,1183,no,cellular,yes
49,married,388,no,telephone,yes
38,married,1919,no,cellular,yes
51,divorced,1613,no,cellular,yes
36,divorced,0,no,cellular,yes
55,married,0,no,cellular,yes
43,married,0,no,cellular,yes
60,divorced,0,no,cellular,yes
57,married,466,no,cellular,yes
41,married,515,no,cellular,yes
50,married,2313,no,cellular,yes
53,married,-8,no,cellular,yes
59,married,1634,yes,cellular,yes
59,married,100,no,cellular,yes
52,married,5361,no,cellular,yes
58,divorced,1257,no,cellular,yes
59,married,3400,no,cellular,yes
49,single,1377,no,cellular,yes
33,divorced,2885,no,cellular,yes
55,married,512,no,cellular,yes
42,married,921,no,cellular,yes
52,married,1000,no,cellular,yes
38,married,202,no,cellular,yes
55,married,169,yes,cellular,yes
49,married,3726,no,cellular,yes
56,divorced,146,no,cellular,yes
46,married,940,no,cellular,yes
57,divorced,734,no,cellular,yes
61,married,77,no,cellular,yes
45,married,925,no,cellular,yes
39,married,1836,no,cellular,yes
46,married,660,no,cellular,yes
43,single,1304,no,cellular,yes
34,married,2956,no,cellular,yes
35,divorced,146,no,cellular,yes
36,divorced,36,no,cellular,yes
45,divorced,1,no,cellular,yes
47,married,2480,no,cellular,yes
42,married,14282,no,cellular,yes
40,single,0,no,cellular,yes
40,divorced,311,no,cellular,yes
32,married,560,no,cellular,yes
33,single,3059,yes,cellular,yes
32,married,1423,no,cellular,yes
46,married,874,no,cellular,yes
50,married,706,no,cellular,yes
51,married,7098,no,cellular,yes
30,single,5389,no,cellular,yes
39,single,1104,no,cellular,yes
47,married,3070,no,cellular,yes
40,divorced,0,no,cellular,yes
50,married,4108,no,cellular,yes
60,married,0,no,cellular,yes
32,single,4291,no,cellular,yes
57,married,6822,no,cellular,yes
41,married,231,no,cellular,yes
50,married,3176,no,cellular,yes
46,divorced,-824,no,cellular,yes
31,married,676,no,cellular,yes
36,single,651,no,cellular,yes
45,divorced,2657,no,cellular,yes
33,divorced,801,no,cellular,yes
47,married,405,yes,cellular,yes
35,married,82,no,cellular,yes
38,married,179,no,unknown,yes
33,married,1047,no,cellular,yes
44,single,7138,no,cellular,yes
31,single,165,yes,cellular,yes
31,single,37,no,cellular,yes
49,married,823,no,cellular,yes
52,married,1625,no,cellular,yes
31,married,120,no,cellular,yes
35,married,2957,yes,cellular,yes
31,single,2,no,cellular,yes
36,divorced,1,no,cellular,yes
39,married,1795,no,cellular,yes
46,married,4,no,cellular,yes
48,married,476,no,cellular,yes
36,married,9,no,cellular,yes
30,married,131,no,cellular,yes
33,single,1120,no,cellular,yes
57,married,2785,no,cellular,yes
33,single,0,no,cellular,yes
35,married,43,no,cellular,yes
53,married,0,no,cellular,yes
41,married,456,no,cellular,yes
32,single,2018,no,cellular,yes
41,married,0,no,cellular,yes
35,single,354,no,cellular,yes
48,married,719,yes,cellular,yes
34,married,828,yes,cellular,yes
47,married,2787,no,cellular,yes
46,married,2551,no,cellular,yes
60,married,2722,no,cellular,yes
39,married,1880,no,cellular,yes
57,married,2112,no,cellular,yes
36,divorced,871,no,cellular,yes
30,married,850,no,cellular,yes
33,married,3243,no,cellular,yes
30,married,1567,no,cellular,yes
36,single,12,no,cellular,yes
49,married,128,no,cellular,yes
49,married,553,no,cellular,yes
40,divorced,1694,no,cellular,yes
49,married,408,no,cellular,yes
38,married,1223,no,cellular,yes
31,single,1858,no,cellular,yes
34,married,520,no,cellular,yes
39,married,271,no,cellular,yes
40,married,4396,no,cellular,yes
47,married,568,no,cellular,yes
37,single,3665,no,cellular,yes
44,single,244,no,cellular,yes
55,married,568,no,cellular,yes
40,married,42,no,cellular,yes
54,married,309,no,cellular,yes
35,married,-180,yes,cellular,yes
32,single,34646,no,telephone,yes
36,divorced,59,no,cellular,yes
37,married,4436,no,cellular,yes
37,single,-242,no,cellular,yes
50,married,10052,no,cellular,yes
58,married,0,no,cellular,yes
52,divorced,152,no,cellular,yes
31,married,156,no,cellular,yes
40,married,66,no,cellular,yes
34,single,9827,no,cellular,yes
53,married,6170,no,cellular,yes
43,married,2383,no,cellular,yes
30,single,635,no,cellular,yes
34,single,16,no,cellular,yes
48,divorced,362,no,cellular,yes
33,married,191,no,cellular,yes
37,single,455,no,cellular,yes
57,divorced,3043,no,cellular,yes
55,married,3334,no,cellular,yes
34,married,8029,no,cellular,yes
44,married,624,no,telephone,yes
35,single,331,no,cellular,yes
34,married,2929,no,cellular,yes
49,married,1314,no,cellular,yes
30,married,289,no,cellular,yes
32,single,20,no,cellular,yes
56,married,8163,no,cellular,yes
50,single,1200,no,cellular,yes
32,single,1732,no,cellular,yes
45,single,0,no,cellular,yes
52,married,576,no,cellular,yes
60,married,493,no,cellular,yes
47,married,682,no,cellular,yes
32,single,0,no,cellular,yes
55,married,3485,no,cellular,yes
36,single,2944,no,cellular,yes
46,married,1353,no,cellular,yes
55,divorced,0,no,cellular,yes
30,single,1541,no,cellular,yes
54,married,548,no,cellular,yes
31,divorced,254,no,cellular,yes
46,single,4414,no,cellular,yes
61,married,985,no,cellular,yes
58,married,1241,no,cellular,yes
38,single,3278,no,cellular,yes
49,married,412,no,cellular,yes
43,single,483,no,cellular,yes
52,married,7135,no,cellular,yes
33,single,61,no,cellular,yes
33,married,1412,no,unknown,yes
53,married,15,no,cellular,yes
40,single,27,no,cellular,yes
44,married,1196,no,cellular,yes
42,divorced,19,no,cellular,yes
33,single,432,no,telephone,yes
53,married,988,no,cellular,yes
60,married,1614,no,cellular,yes
33,single,163,no,cellular,yes
37,married,247,no,cellular,yes
45,married,236,no,cellular,yes
34,single,666,no,cellular,yes
56,married,73,no,cellular,yes
57,divorced,96,no,cellular,yes
32,single,46,no,cellular,yes
50,married,1501,no,cellular,yes
30,single,-477,yes,cellular,yes
56,married,1694,no,cellular,yes
55,married,196,no,cellular,yes
34,single,462,no,cellular,yes
52,married,1227,no,cellular,yes
32,single,522,no,cellular,yes
31,married,94,no,cellular,yes
44,married,267,no,cellular,yes
33,married,4570,no,cellular,yes
53,married,25,no,cellular,yes
46,single,0,no,cellular,yes
46,married,1920,no,cellular,yes
59,married,1575,no,cellular,yes
51,married,234,no,cellular,yes
57,married,3518,no,cellular,yes
43,married,136,no,cellular,yes
48,single,830,no,cellular,yes
33,married,2054,no,cellular,yes
59,married,-546,no,cellular,yes
58,married,5188,no,cellular,yes
32,single,1882,no,cellular,yes
44,married,792,no,cellular,yes
47,married,162,no,cellular,yes
34,married,1035,no,cellular,yes
51,married,746,no,cellular,yes
60,married,17297,no,cellular,yes
46,married,22,no,cellular,yes
41,married,231,no,cellular,yes
34,single,296,no,cellular,yes
31,divorced,0,no,cellular,yes
37,married,40,no,cellular,yes
59,married,2396,no,cellular,yes
55,married,2944,no,cellular,yes
33,single,7084,no,cellular,yes
30,married,569,no,cellular,yes
36,married,0,no,telephone,yes
44,married,1138,no,cellular,yes
36,divorced,54,no,cellular,yes
33,single,2637,no,cellular,yes
36,married,2473,no,cellular,yes
